Chance for A,COURSECODE,COURSENAME,NUMBER_OF_STUDENT,A,B+,B,C+,C,D+,D,F,S,U,V,W
100,1601437,Legal Services and Social Justice,20,20,0,0,0,0,0,0,0,0,0,0,0
96,1601455,Legal Professional Experience,75,72,2,1,0,0,0,0,0,0,0,0,0
86,1405101,Principles of Crop Produces,1180,1019,124,26,3,3,1,0,1,0,0,0,3
86,1802214,Applied Thai Traditional Medicine for Sports Injury,22,19,3,0,0,0,0,0,0,0,0,0,0
81,1007211,Chinese-Go,232,187,29,6,2,2,0,0,0,2,0,0,4
80,1803320,Spa Therapy,158,127,15,8,2,1,2,0,1,0,0,0,2
74,1603314,Moot Court,47,35,7,2,1,1,0,0,1,0,0,0,0
72,1803330,Exercise for Noncommunicable Diseases Prevention,74,53,14,5,1,1,0,0,0,0,0,0,0
63,1020308,Bahasa Indonesia 1,38,24,9,3,2,0,0,0,0,0,0,0,0
62,1008116,Basic Korean 2,21,13,4,4,0,0,0,0,0,0,0,0,0
61,2109250,Entomology and Health,74,45,7,6,4,3,5,2,0,0,0,0,2
60,1401281,Basic Technology of Food Products,161,97,50,13,1,0,0,0,0,0,0,0,0
59,1108231,Practical Ceramic,51,30,6,4,1,0,0,0,1,0,0,0,9
58,1005462,Thai Idioms and Proverbs,57,33,13,9,0,1,0,0,1,0,0,0,0
57,1008115,Basic Korean 1,273,155,52,31,19,7,6,0,0,0,0,0,3
56,1009102,French 2,25,14,5,2,0,0,1,0,0,0,0,0,3
53,1806427,Exercise and Weight Control,47,25,5,5,4,1,0,1,0,0,0,0,6
52,1203132,Principles of Business Management,23,12,4,2,1,3,0,1,0,0,0,0,0
51,1703407,Make-up Application for Personality,146,75,39,22,2,0,0,0,0,0,0,0,8
50,1008113,Japanese 3,24,12,5,2,3,2,0,0,0,0,0,0,0
48,1107402,Products and Environmental Impact,54,26,19,6,1,0,0,0,0,0,0,0,2
48,2408002,Chinese 2,27,13,3,1,1,2,2,0,1,0,0,3,1
47,1001115,Arts of Speech,62,29,16,7,4,1,0,0,0,0,0,0,5
45,1020303,Basic Bahasa Language,105,47,26,15,6,6,1,0,2,0,0,0,2
42,1007102,Chinese 2,52,22,12,9,4,1,1,0,1,0,0,0,2
42,1020301,Spoken Myanmar Language for Communication for Non Myanmar Students,33,14,7,2,3,3,0,1,0,0,0,0,3
41,1001302,Human Relations,109,45,40,17,4,2,0,0,0,0,0,0,1
38,1403307,Thai Traditional Food Recipes,201,77,59,27,27,8,0,1,0,0,0,0,2
38,1008111,Japanese 1,120,46,32,13,7,4,3,1,0,0,0,0,14
37,1009310,Spanish 1,122,45,25,23,8,11,1,1,0,0,0,1,7
35,1106100,Mathematics for Life,20,7,2,5,2,1,1,2,0,0,0,0,0
33,1008112,Japanese 2,63,21,21,7,6,3,2,0,0,0,0,0,3
33,1009101,French 1,55,18,10,9,2,1,4,5,2,0,0,0,4
33,1008302,Korean 2,24,8,5,2,5,1,0,1,0,0,0,0,2
33,1005362,Thai Language and Society,21,7,9,3,1,0,0,0,0,0,0,0,1
32,1009107,French Food Culture,41,13,6,5,2,3,2,1,0,0,0,0,9
31,1008301,Korean 1,147,46,22,21,24,13,10,4,0,0,0,0,7
30,1001113,Art Appreciation,77,23,31,13,8,2,0,0,0,0,0,0,0
29,1804105,Life and Health,45,13,5,9,11,6,1,0,0,0,0,0,0
27,1803317,Tobacco and Physical Therapy,162,43,51,41,20,4,0,0,0,0,0,0,3
27,1009320,Italian 1,59,16,8,9,12,6,1,1,0,0,0,0,6
26,2302304,Peace Studies,58,15,11,6,12,8,4,2,0,0,0,0,0
26,2302206,Living with Globalization,47,12,6,4,8,8,1,5,2,0,0,0,1
25,2302205,Community Studies,56,14,13,16,9,1,3,0,0,0,0,0,0
23,1008121,Burmese 1,48,11,8,10,6,3,2,2,0,0,0,0,6
22,2302308,Introduction to Sustainable Development,37,8,13,12,3,1,0,0,0,0,0,0,0
22,1008105,Basic Japanese 1,23,5,3,3,4,3,0,0,0,0,0,0,5
20,1005314,Thai Wisdom,40,8,15,12,3,1,0,0,0,0,0,0,1
19,1901412,Tobacco and Health,124,24,81,19,0,0,0,0,0,0,0,0,0
18,2109131,Plants and People,45,8,6,11,7,5,1,4,0,0,0,0,3
18,1009311,Spanish 2,28,5,8,7,6,1,0,0,0,0,0,1,0
17,1001141,General Psychology,41,7,5,10,9,3,3,2,0,0,0,0,2
16,1901413,English Communication for Health Care Professions,123,20,82,20,0,0,0,0,0,0,0,0,1
16,1007212,Chinese Folk Custom,38,6,1,11,8,6,4,1,0,0,0,0,1
13,1403312,ASEAN Foods,103,13,30,21,22,11,2,0,1,0,0,0,3
13,1001110,Living with Globalization,31,4,17,4,3,0,0,0,0,0,0,0,3
10,1001306,ASEAN Studies,20,2,5,5,3,4,0,0,1,0,0,0,0
7,1001134,Peace Studies,61,4,15,15,12,8,3,1,1,2,0,0,0
0,1001200,Environment and Development,20,0,0,7,3,9,1,0,0,0,0,0,0
